start	end	text
0	14640	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14640	22760	British men while a separate island will be home to 14 British women for six weeks they'll be
22760	30620	utterly alone with only the clothes they stand up in and a handful of basic tools filming everything
30620	38400	themselves when pushed to the limits of human endurance will it be brute power or mental
38400	48600	strength the winds a day prehistoric animal who will have what it takes to stay alive tonight we
48600	49620	follow the men's on
52760	59060	this could be the worst decision we've ever made this time it'll be harder than ever
59060	68000	they'll have to endure the height and harsh tropical storm season nature I say this is
68000	74400	the worst you can do they'll have to find their own water and hunt for their own food
74400	82700	you lazy bunch of bone idle have these Monday men
82700	82740	and hunt for their own food you lazy bunch of bone idle bastards have these Monday men
82740	84740	got what it takes to survive
84740	93480	that's the artistry
93480	108540	four days ago I dropped 14 ordinary British men on a remote Pacific Island
108540	118420	they're beaten next to nothing limpets horrendous and up three days a brutal
118420	124020	tropical storm the group began to fracture what is the matter with you
124020	127980	nothing a matter with me so leaving three people threatening to walk off the
127980	133540	island I cannot face another day on you I'm not gonna make the rest of the time
133540	138480	I've been having a lot of until I heard one of my teammate so they wanted me to
138480	140480	It's just being a prick.
144480	147480	Bollocks, absolute bollocks. I'm not having it.
147480	149480	I am going off this island
149480	153480	because I'm not being held responsible for that.
153480	156480	22-year-old graphic designer Joe, builder Andy
156480	158480	and now construction manager Paul
158480	161480	are all threatening to leave the island.
162480	165480	It's affected you more than I thought it would have.
165480	167480	I came here to get away from shit like this,
167480	169480	not deal with it every day.
169480	172480	So we are three men down in one day
172480	175480	when the odds are against us at the moment,
175480	178480	and without a full complement of people,
178480	180480	we're going to really struggle.
180480	185480	You just made this survival thing probably twice as hard.
185480	187480	OK, slightly less practically, guys.
187480	190480	We've stood here and talked for an hour.
190480	192480	If it really is going to be 11 of us today,
192480	194480	us 11 have got a lot of work to do
194480	196480	to get through the rest of the day,
196480	197480	so if you guys are not prepared
197480	199480	to commit to the rest of the group,
199480	200480	boom, go.
200480	202480	Sweet.
202480	204480	I've made a decision. I've had enough.
204480	206480	I want to go now.
206480	208480	Basically, we've realised that a candlelit dinner
208480	211480	and a glass of wine is a bit better than being here.
213480	215480	Look, we knew it was never going to be easy,
215480	218480	but it's not the survival bit that's got to me.
218480	220480	It's just all bullshit.
220480	222480	I think that's genuinely shitty.
222480	224480	I think that's walking away and leaving the rest of us
224480	226480	and letting the rest of us die in a big way.
226480	228480	Not only is it a selfish thing to do,
228480	230480	I think it's the most selfish possible time you could go
230480	232480	when, like, all hands are needed.
234480	237480	With Paul having made a definitive decision to go,
237480	240480	the group are hoping that other builder, Andy,
