start	end	text
0	14640	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14640	22980	British men while a separate island will be home to 14 British women for six weeks they
22980	31560	will be utterly alone with only the clothes they stand up in and a handful of basic tools
31560	37800	and fishing equipment how many fishing lines have you hooked up before film filming everything
37800	46980	themselves when pushed to the limits of human endurance will it be brute power or mental
46980	52200	strength the winds a day who will have what it takes
52200	52960	to
52960	56980	to stay alive tonight we follow the men's Island
59140	67900	every single time it's little old me I don't trust you survival will be harder than ever
69700	73300	they'll have to endure the height of the harsh tropical storm season
74920	82720	they'll have to find their own water and hunt for their own food you took the hook of the lot
82960	87600	and these Monday men oh got what it takes to survive
92020	92680	foreign
98260	105700	four weeks ago 14 British men were cast away on this remote Pacific Island hello
105700	109360	you can see Pierce's heart beating through his rib despite their best efforts
110240	110740	so
112960	115680	been able to find a sustainable source of food.
115680	117840	We need some decent food, we need it quick.
119640	122120	And the men are getting weaker by the day.
122120	123040	Exhausted.
123040	125980	There is absolutely no food in this camp.
125980	128580	The group's become increasingly fractured.
128580	130980	You tell any chef that cooking for 11 people
130980	134340	is physically easy and he'll stab you in the fucking eye.
134340	136900	So far, it's 47-year-old Vic,
136900	139920	the island's top hunter, who's managed to save the group
139920	140760	from starvation.
140760	143260	When in doubt, send Vic out!
156660	159880	If I laid back, a little bit further into the sun,
161140	162940	it would feel like I was on holiday.
166020	168420	Apart from the fact that later on,
168420	170580	I'm gonna have to walk half a mile
170580	170740	for one night.
170740	173880	Water, fish until we can eat,
173880	175280	and chop a load of firewood.
178680	183680	Potentially the shittest holiday anyone will ever go on.
193320	196180	The men have now been living on the island for a month.
198080	200560	Unable to find a reliable source of food,
200560	204140	they've had to survive on a meagre low-calorie diet
204140	207540	of limpets, coconut, and the occasional fish.
207540	209740	We are starting to starve.
209740	210680	We're not eating enough.
210680	213540	I mean, look, I've never seen my ribcage like that
213540	216780	since I was bloody 12 or 13.
216780	218700	I've got a bloody lollipop head.
218700	220860	It looks wrong size to my body.
220860	222580	It looks completely out of place.
222580	223680	There's nothing to me.
224600	227700	After four weeks on such an extreme, low-calorie diet,
227700	229700	the men are actually in danger of entering what's called,
229700	232060	autophagy.
232060	234460	And this literally means to self-eat.
234460	236940	Their bodies start to cannibalize themselves,
236940	239200	and if they don't find a sustainable food source
239200	241920	for the long-term, their physical condition
241920	244460	won't just be in decline, it'll be in free fall.
250820	252500	We'll start with Charlie, what are you doing?
252500	253840	I'm building. Phil?
253840	255120	I'm doing water and wood,
255120	257400	and then chipping in for whatever needs doing.
257400	258240	You're man.
258240	261080	For the exhausted men,
261080	263460	the morning meeting has become a vital way
263460	265440	of sharing out their daily chores.
266660	267900	Trapping assistant.
267900	268740	Good man.
268740	269980	Vic's gonna do water, wood,
269980	272820	and help anybody else doing whatever they need doing.
272820	273840	Sam?
273840	275440	The hunting is the thing
275440	277200	that I'm probably the most excited by.
278120	278960	For a personal level,
278960	282640	I don't think I've quite achieved my personal ambition yet.
282640	285380	My personal ambition would be to catch a vulture
285380	286220	or something like that.
286220	287600	It's a lot of effort to do, isn't it?
288240	290240	Will you be doing wood, then?
290240	291960	Well, when I get back, I can do wood, but...
291960	294280	You've got a master skill at avoiding that wood job,
294280	295680	haven't you?
295680	297520	If you don't bust a gut getting wood,
297520	299160	we're gonna run out, and everybody's gonna know
299160	302020	you were on wood, you were a lazy bastard.
302020	304920	The group has given Sam his orders for the day,
304920	306340	but he's not convinced.
307620	309180	Collecting firewood's important,
