start	end	text
0	14940	Two uninhabited Pacific Islands more than 5,000 miles from the UK one has been inhabited by 14
14940	23280	British men while a separate island was home to 14 British women they've been utterly alone
23280	33300	with only the clothes they stand up in and a handful of basic tools filming everything
33300	45780	themselves the women have made it off alive tonight it's a final installment of the men's
45780	53260	island you lazy bunch of bone idle bastards survival
53260	60580	will be harder than ever they'll have to endure the height and harsh tropical storm season this
60580	69760	island either wants to decompose you or eat you alive they'll have to find their own water and
69760	77260	hunt for their own food with the finishing line in sight have these modern-day men got what it
77260	80320	takes to survive I'm gonna go to hell for this
83260	101200	five weeks ago 14 British men were dropped on a remote Pacific Island
101200	107140	they've had some success with their fishing nets
107140	113140	but not enough to stop their physical decline
113260	121000	we've been here over a month now we are starting to starve be careful taking huge risks and the
121000	128800	pursuit of food holy he's severed one of his tendons the group suffered their biggest loss
128800	135640	he needs to be evacuated as 36 year old Will was forced to leave the island
136780	143080	I feel devastated he's gone of all the people he wanted to finish with he was up there wasn't it we
143260	149080	didn't finish strong as the team and now the islands thwarted that I hate this place I hate it
163360	164200	we're in again
166600	167860	no respite for us man
168640	172600	thunder we're getting screwed again
173260	186400	fair weather Islanders what's going on here oh I've got a flippings as a scorpion right don't move
186400	190660	don't move don't move I do not want to get stung of course you don't right please be quick about it
190660	194860	whoa let me get that way don't cut it off don't throw it off on your spot take it off take it off
197440	202780	give it a shot yeah ain't that the thing with this island one minute it's all calm and then
203260	219880	the men have been living on the island for an unprecedented 36 days and they're now entering
219880	226600	uncharted territory and that's why this time only the mentally strong are going to make it to the end
226600	227440	foreign
227440	238480	living for five weeks on an extreme low calorie diet consisting mainly of fish limpets and coconuts
238480	243820	the men have been getting weaker by the day pounds just keep dropping off gentlemen
244660	248940	to make sure their physical decline doesn't become life-threatening Dr
248940	254260	Piers has been monitoring their weight using scales from his medical kit come on you have a streak of
254260	256780	piss that puts me uh just under
257440	259200	Er, ten stone.
259240	261200	My bollocks weigh more than that.
261240	262240	Jesus.
265000	266520	28-inch waist.
266560	268920	28-inch waist.
268960	271080	Jesus Christ!
271120	273120	You could just buy boys clothes when you get home now.
273160	274680	If you have a flap suit, pack it.
274720	275720	Baby gap, mate.
275760	277680	You could baby gap.
277720	279400	Since arriving on the island,
279440	282440	the men have shed nearly 30 stone between them.
283760	285440	The weight loss was always going to be dramatic,
285440	287760	but I was not expecting it to be as severe as it was.
292080	294680	A maybe just maybe.
294720	298240	The storm has been kind and dropped us a fresh coconut.
298280	300160	Determined to halt the decline,
300200	303080	the men redouble their efforts to find food.
303120	305640	We're going to go and check the shit out of these nets.
305680	307840	Good luck, fellas.
307880	310920	Oh, my leg is just not working today.
310960	312680	I had that yesterday, just...
312720	314800	Have you worn your boots recently?
314840	315400	No.
315480	320040	Oh, God, dude, do not try putting them on, I tell you now.
320080	321360	Huh?
321400	324640	Oh, it's a bit weightier than last time, isn't it?
324680	327400	The fishing nets have been a lifeline for the men,
327440	328880	but as they get weaker,
328920	330640	taking the raft out to check them
330680	333520	has become an increasingly difficult task.
333560	336480	Come on, now, let's have just one or two.
336520	339360	Oh, bollocks.
339400	341320	Little snag.
341360	343080	Oh!
343120	344920	Oh, this is getting annoying now.
345440	347480	Today, there isn't a single fish
347520	350160	to reward Charlie and Piers for their efforts.
350200	351440	You all right?
351480	352800	I think it's dangerous now, actually,
352840	354760	moving these nets, in all honesty.
354800	356720	All of us are just skin and bone,
356760	361120	and it's not really...
361160	362480	I don't think it's safe any more.
369800	374160	We've eaten almost every single coconut on this whole island.
374200	375280	All the ones left are pretty much gone.
375280	376680	They're pretty much rotten.
378800	381040	This was the last little stash I knew about.
381080	385000	Depleted a lot of the limpet stores already, really.
386480	389400	Even the men's once-reliable food sources
389440	391840	appear to be running dry.
391880	393440	We have truly decimated the fish
393480	396920	within three metres of the boundary of this island, haven't we?
402120	404160	24 hours ago, we were...
405280	407840	..conquering this island.
407880	409960	Nets were full of fish.
410000	413320	24 hours later, we're in tatters.
413360	415360	This could go from bad to worse very easily.
418880	422760	Every single one of these guys is going to have mega low moments.
422800	425560	It's just the reality of being out in the wild,
425600	429320	being tired, being bitten to death, being hungry.
429360	431640	You just have those moments.
431680	434600	And one of the key lessons I've learned is that the pain,
434600	437560	the discomfort, it never lasts forever.
437600	438920	Keep your eyes on the light.
442960	444040	Can I just show you something?
444080	445720	There's something here that you might all want to see.
445760	446720	Where is it?
446760	447760	Come with me. It's not very far.
447800	448840	It's worth it, Sam.
448880	451160	Is it edible?
451200	452200	It's good.
452240	454240	I'm taking my knife, just in case.
454280	455360	It's Bear Grylls, isn't it?
455400	456680	And it's a hope as well.
456720	457960	Look at this.
458000	459080	Oh, yeah.
459120	460400	Oh, baby turtle.
460440	463480	It's alive and it's making its way to the beach.
463520	464240	And if there's one,
464240	466200	there's probably a few more.
466240	467200	Isn't that amazing?
467240	468400	That's incredible.
468440	469400	There's the others. Look.
469440	470680	Oh, the other one. Oh, yeah.
470720	472000	Can you see the two of them?
472040	472840	Yeah.
472880	473920	Oh.
473960	475040	It's gorgeous, isn't it?
475080	475920	Privilege.
475960	478720	It's a real privilege, isn't it?
478760	479760	I just noticed it.
479800	481920	I was coming back from the end of the beach.
481960	484280	I just saw this thing wriggling in the sand and I thought,
484320	485600	what's that?
485640	487600	And just to see that, it's absolutely amazing.
492080	493520	This is such fire.
493520	495920	You can sort of see them toasting in the sun, can't you?
495960	496920	Yeah.
498080	500120	It's the life and death of these guys, you know what I mean?
500160	502040	It's like each one of us, you know,
502080	504080	whether it's here on this island or in life,
504120	507520	we're sort of fighting our own personal battles.
507560	508560	Should we help him?
512160	515040	Come on, mate. Get out of that hole.
515080	516520	Help him along.
516560	518280	Come on, chap.
518320	519320	Go.
520720	522360	And maybe I'm doing a completely wrong thing
522400	523320	and...
523520	526880	Shoot me down, but if there's a chance of this little dude
526920	529680	living rather than dying,
529720	530720	I want him to live.
535440	536440	Go on, little fella.
536480	537480	Take to the water.
539320	542600	God, that was one of the most incredible things I have ever seen.
542640	543680	Really touching.
543720	546080	Those guys have just been born, they've just been hatched.
546120	548000	All they're thinking about is just surviving.
548040	551360	Getting to that water, it just puts everything into perspective.
551400	553320	Such a beautiful sight.
553320	555920	This is what life is, really.
557320	558520	You OK?
558560	560000	Yeah, yeah, tired, that's all.
565480	568040	The turtles have been a welcome distraction,
568080	570520	but after more than five weeks on a starvation diet
570560	574440	and no sign of their next meal, the men are in bad shape.
574480	575400	God.
575440	576360	Tired.
578120	579560	Just tired.
580440	582520	I'm so tired, just tired.
583320	587160	I've usually got lots of energy, and I like being enthusiastic about things.
587240	588560	I like doing things.
589640	591240	But I've been so tired.
591320	595840	I'm sort of starving, wasting away, and I know my body is just like,
595920	599000	you need fuel, but there's no escaping it.
599080	602400	You're so aware that you're going downhill fast.
608000	609000	Are you all right?
610040	611040	No, he's gone, I think.
611040	612680	They're all fucking dying.
612760	617120	On the beach, some of the baby turtles are also on their last legs.
618360	621120	They're just frying up hot little bodies.
622160	623640	I wish they'd woken up at night.
625680	628680	It breaks my heart, but either we leave these little guys to rot
628760	631320	or for the birds to pick at them or we eat them.
