start	end	text
0	14560	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14560	22960	British men while a separate island will be home to 14 British women for six weeks they'll be
22960	33700	utterly alone with only the clothes they stand up in and a handful of basic tools filming everything
33700	39460	themselves when pushed to the limits of human endurance hello you can see Pierce's heart beating
39460	51580	through the rib will it be brute power or mental strength the Windsor day who will have what it
51580	52900	takes to stay alive
52960	65080	tonight we follow the women's island survival will be harder than ever they'll have to find
65080	70720	water and hunt for their own food that is the biggest shocker I've ever seen living on the
70720	80820	island in the middle of tropical storm season we expected to survive it when pitted against
80820	81580	the extremes of nature
82960	91000	and these Monday women got what it takes to survive guys come back here really slowly
91000	110800	it's been almost three weeks since I dropped 14 women off on this remote Pacific Island radio in
110800	112800	now medic now
112960	118280	they're three people down I thought she'd hang on in there and with fewer women to hunt and food running
118280	124720	dangerously low surely I'm gonna die soon spa owner Abby one of the oldest of the women has kept the
124720	135400	group together she encouraged the others to make a difficult but necessary survival choice to eat
135400	139500	their pet pigs I don't know about anyone else but I feel like a wild animal
142960	161960	what's your assessment of the situation hairdresser there's a vocabulary for hairdressers so as not to offend the client so I'm always subtle in my work so I'd say it's f***ing had it
161960	167820	after weeks on the island stripped of all luxuries Abby is improvising in her island salon with a novel blue rinse it's probably permanent boat paint or something
167820	171960	it's probably permanent boat paint or something
172960	179960	basins are over there the junior will see to it
179960	182960	quite happy now I've done a bit of hairdressing
182960	189960	oh look at the colour of the sea that's what we want to swim in
189960	199960	in a group like this when you're really starving and struggling all you need is that one person to kind of shine a little beacon of light and say something really witty and funny
199960	202960	and Abby is that person
202960	204960	it's 95 pound please
212960	213960	the oven's broken
213960	215960	thanks chef
215960	217960	oh my god
217960	222960	it's been days since women ate the piglets and they haven't had a decent meal since
222960	227960	can I have it with sand please I don't think I've got enough sand in my mouth
227960	230960	they're back to eating scraps of foraged coconut and yucca
230960	231960	and starvation isn't fair
232960	234960	and their wife is far away
234960	235960	did you notice it was on fire
235960	236960	oh wow
236960	246960	you're getting a really burnt one
