start	end	text
0	14700	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14700	24180	British men while a separate island will be home to 14 British women when pushed to the limits of
24180	32520	human endurance will it be brute power or mental strength the winds a day who will have what it
32520	45600	takes to stay alive tonight we follow the men Britain today we've never been further from a
45600	53820	hunter-gatherer origins but I want to know when stripped of everything
54180	57360	has modern man still got that instinct to survive
59760	66600	to find out a marooning 14 ordinary men on a desert island this is crazy this is absolutely
66600	72060	crazy this could be the worst decision we've ever made this time it'll be harder than ever
75360	80400	they'll have to endure six weeks in the height of the harsh tropical storm season
80400	83640	this is the worst you can do
84180	90540	they'll be utterly alone filming everything themselves we have two choices one we go down
90540	99600	the 40-foot Ravine holy well we keep going through this of a jungle they'll have to find their own
99600	109260	water and hunt for their own food we've just got a prehistoric animal you lazy bunch of bone idle
109260	113820	bastards have these modern day men got what it takes to survive
114180	123540	that's the hardest thing I've done
137520	144120	I personally don't think men are as strong now as they were I wouldn't even say 50 years ago even
144180	150300	five years ago because we have it too easy the interesting question to ask actually is if we
150300	155880	lost everything what would happen to us it'd be nice to think I've come off the island feeling
155880	161880	a little bit more macho a little bit more alpha male a little bit more popular with the ladies
163560	168960	I'm about to abandon these men on a remote Pacific island to see if they can survive
170340	173820	they will be utterly alone my oldest was 19.
174180	177900	he only needs me for money in a lift and the youngest one's too cool to hang around with
177900	183060	dad my dream is for them guys to go that's my dad that that's fantastic my dad did that
184860	189360	I don't think I've done anything that's put myself at risk really but I'm scared he's
189360	192840	taking a graphic designer on an island with no other skills whatsoever anything could happen
193860	199680	these 14 ordinary men do not know each other and they have no experience in living in the wild
200760	203640	at the moment I don't enjoy day-to-day life
204180	208560	I've got a stressful job I've got a newborn baby at home I want to go on the island to
208560	214260	get away from the day-to-day I think everyone in life does take certain things for
214260	218460	granted electricity when you turn on the light having a warm shower having breakfast when it's
218460	223140	not there and you wake up in the morning and go where's the next meal coming from it's a man test
223140	231660	isn't it okay guys we're getting closer you are very remote here the next stop that way is New Zealand
234180	240900	out is has all of this cushioning that civilization has experienced over the last 50 years made us
240900	247740	totally lose touch with that survival instinct that I believe is deep within us all okay guys
247740	254040	I need you to be my eyes for any rocks and loads of rocks it takes an extreme situation to find out
254040	262560	what people are really made of what you're about to embark on it will be the toughest thing you will
264180	272640	do this all right you can do it the men's home for the next six weeks is an uninhabited island
272640	279900	in a remote Pacific archipelago the 11 kilometers of coastline is dominated by treacherous cliffs and
279900	288700	rocky headlands vicious swells and powerful ocean currents means there's no easy way onto
288700	293580	the island I'm gonna try and get you guys as close as I can all right
294180	301680	but you will end up swimming any of you guys are weak swimmers it is a good time to say I've never
301680	306480	swam this distance before not even a swimming pool but I will get there I will get there age won't
306480	313320	stop me doing this not often in one's life someone actually challenges your morals challenges you
313320	318900	physically and this does that's why I want to do it who can't swim confidently confident with
318900	320520	unconfident yeah let's go
324180	328680	the men must make the 75 meter swim to the island fully closed
329640	334080	help each other help those who are weaker let's go let's go
335880	342480	strong undercurrents mean the men need to get to shore as quickly as possible
348840	351060	go get out of the water go go go
354180	360400	out of the water go see if they can
365520	370020	wow that was the damnedest thing I ever did
376740	379680	I couldn't have gone much further but that's only a taste of what we've got to come then bring it children yeah well the advice is
379680	381680	take your own piss which is a bit unnerving with only two days survival training initiative will be key
381680	383980	essentially it's water isn't it is that your favorite��요
384180	386180	You've got to save your piss, mate. You've got to save your piss.
386180	388180	Yeah, yeah. Save your piss.
388180	390180	Drink your own piss!
390180	392180	I hope not.
392180	395180	So, they look a bit like a party of drowned rats at the moment.
395180	397180	Kind of let the chaos begin.
397180	401180	But what I do know is, when I return in six weeks' time,
401180	404180	the 14 men, if there are still 14 men there,
404180	407180	which, to be honest, I doubt,
407180	409180	the men that do remain...
409180	411180	..will be changed.
411180	414180	It's time for me and the crew to leave.
414180	417180	We won't be back until the end of the experiment.
419180	421180	For the next six weeks,
421180	424180	the men will have to live entirely on their own wits.
425180	429180	To make sure these men at least have a fighting chance at survival,
429180	431180	I've ensured the island's got enough water,
431180	435180	indigenous animals and vegetation on it to keep them alive.
435180	437180	It's teeming with wildlife.
437180	440180	But what they've got to have is the ingenuity
440180	441180	to find it,
441180	442180	catch it and kill it.
442180	444180	What's your name, mate?
444180	445180	Paul.
445180	446180	I'm Ross.
446180	447180	Hello, Ross.
447180	448180	From here on in,
448180	451180	everything you see will be filmed by the men themselves.
451180	454180	Why don't we get everybody together
454180	458180	and then we'll work out something that we're going to do
458180	460180	and then we're all going to be heading that way,
460180	461180	I'm assuming, anyway,
461180	463180	because it looks a little bit safer than this,
463180	465180	cos it'll be dark soon.
465180	468180	Come on, lads, let's make use of some of this energy while we've got it.
468180	470180	All of the men will film,
470180	474180	but four of the group are trained and experienced camera operators.
474180	475180	I'm Ross.
475180	476180	Sam.
476180	477180	How you doing, mate?
477180	481180	Who'll be living under exactly the same conditions as everyone else.
481180	484180	Oh, I'm like a fucking mule arse, aren't I?
484180	486180	The brains of a donkey!
486180	490180	Obviously, because we are having to film everything ourselves,
490180	494180	we've got to cart all of the camera gear, batteries and everything with us.
494180	495180	Let's do it.
495180	497180	Let's get on with it.
497180	499180	For fuck's sake, this is survival, not Good Morning Britain.
500180	503180	As well as the camera equipment, they'll have a medical kit,
503180	506180	two jerry cans containing a day's supply of water,
506180	510180	basic fishing equipment and a handful of tools.
510180	512180	Guys, how many knives do we have? Let's count them in.
512180	514180	Three knives, three machetes.
514180	515180	Three knives, that's easy.
515180	517180	So, I'll gather round in one group, guys.
517180	520180	I'm Barney and I'm a paramedic from Leicester.
522180	524180	I'm Andy Bennett, builder for Milton Keynes.
524180	526180	We've got a fucking builder, everybody!
527180	529180	Let's hope he's not a cowboy.
530180	532180	My name's Piers, I am a doctor.
