start	end	text
0	13000	Two uninhabited Pacific Islands, more than 5,000 miles from the UK.
13000	20280	One will be inhabited by 14 British men, while a separate island will be home to 14 British
20280	21280	women.
21280	30120	When pushed to the limits of human endurance, will it be brute power or mental strength
30120	31120	that wins the day?
31120	35280	Who will have what it takes to stay alive?
35280	44000	Tonight, we follow the women.
44000	50400	In 21st century Britain, old-fashioned ideas about men and women have disappeared, and
50400	51260	traditional gender roles have disappeared.
51260	58260	Women are often expected to do it all, combining childcare with excelling at work.
58260	62120	Don't let that happen again, I don't know who's doing it, it's really, really embarrassing
62120	63120	and unprofessional.
63120	68080	But if stripped of all of the advantages of modern life, are multitasking 21st century
68080	72600	women better cut out for survival than men?
72600	79000	To find out, I'm abandoning 14 ordinary women to fend for themselves on a remote desert
79000	79500	island.
81260	93120	They will be utterly alone.
93120	95120	Filming everything themselves.
95120	97120	Right, you're filming me, filming you.
97120	99120	That is the biggest shark I've ever seen.
102120	103120	They'll have to hunt for food...
103120	105120	You're all right, you are.
105120	106120	..for water...
106120	108120	Yeah, it's collecting water now.
108120	109120	..and for shelter.
109120	112120	Oh, for f***'s sake.
114120	118120	The women will be taken to the very edge of existence...
118120	119120	Ah!
119120	121120	..living on the island for six weeks
121120	123120	in the middle of tropical storm season.
127120	128120	It's like a tornado.
128120	130120	That is terrifying.
131120	134120	We need a radio and medic now.
134120	136120	It's not a programme, it's just f***ing ridiculous.
136120	140120	Just remember to how you felt when you felt shit, OK?
140120	142120	And leave it there.
142120	144120	When pitted against the extremes of nature...
146120	150120	..have these Monday women got what it takes to survive.
151120	153120	Guys!
153120	155120	That is a big f***.
166120	169120	People hold a lot of their self-worth in things like money,
169120	171120	what they're able to buy, what car they have,
171120	174120	what clothes they have, make-up, how beautiful they are.
174120	176120	When all of that's gone on the island,
176120	179120	I think it all comes down to what sort of a person you are.
179120	181120	I think you can be slightly different.
181120	183120	You can be slightly mental to want to do this, right?
183120	185120	I think you've got to be slightly off your tree.
185120	188120	As human beings, it's the closest we're going to come to a reboot.
188120	191120	I'm about to abandon 14 British women
191120	194120	on a remote, uninhabited Pacific island.
195120	198120	I want my daughter to know that her mum is actually quite brave
198120	202120	and she's not just this person that's there to make tea.
202120	205120	I want to show her that you can do anything.
205120	209120	I'm really looking forward to going back to the hunter-gatherer,
209120	210120	our animalistic roots,
210120	212120	and finding your own food.
212120	215120	I think it's only by pushing yourself to these extremes
215120	218120	that you get to find out who you truly are.
218120	220120	These are ordinary women
220120	223120	with no previous experience of surviving in the wild.
223120	226120	I'm not going on because I can kill an animal
226120	228120	and I know I can survive and I can chop down trees.
228120	231120	I'm doing this because I can't.
231120	233120	But I'm eager to see if I can.
233120	234120	It's the adventure.
234120	236120	There's so much I haven't seen.
236120	238120	There's so much I haven't done.
238120	239120	I'm running out of time.
239120	241120	And I might be running out of health.
244120	246120	How fast are we going right now?
246120	247120	About 30 knots.
247120	249120	We can go really fast if you want.
253120	256120	I think people often think that to be good at adventure or survival,
256120	258120	you've got to have big muscles.
258120	261120	But actually, in the battle to stay alive,
261120	264120	it's one in here and in here, not on these.
266120	267120	Currently on the island,
267120	268120	all of us girls,
268120	271120	I think we will not only survive,
271120	272120	but I think we'll thrive.
275120	276120	This is your island.
276120	277120	Straight ahead.
279120	282120	There's no beach!
286120	289120	There are a lot of currents around this, OK?
289120	292120	So I'm going to try and find little areas of slack water
292120	293120	to get you in.
295120	297120	Unpredictable riptides and hidden rocks
297120	299120	make these waters treacherous.
301120	304120	This is the closest I can get the boat to the shoreline.
305120	307120	I'm not going to sugarcoat this for you guys.
307120	309120	It is going to be hard.
309120	311120	It's going to be hard physically.
311120	313120	It's going to be hard emotionally.
313120	315120	And the thing to remember is positivity,
315120	318120	positivity, positivity.
320120	324120	It's not the white beaches and the sun that we were daydreaming of.
324120	325120	I was OK until I got to this point,
325120	328120	and now I'm really panicking.
329120	330120	Hey!
330120	331120	How deep is that?
331120	333120	You know, it is going to be out of your depth.
333120	334120	There are rocks in there.
334120	335120	Just be smart.
336120	337120	To get to the island,
337120	339120	the women have no choice but to swim to the shore
339120	341120	in the clothes they're wearing.
342120	344120	It's the thought of being all night
344120	347120	with no dry clothes and no fire,
347120	349120	cos we have to make mistakes.
349120	350120	Don't think about it.
350120	351120	Don't think about it.
351120	352120	Just one by one.
352120	354120	It's going to take hours.
354120	356120	We'll just cuddle each other tonight.
356120	357120	Yeah.
357120	358120	Everyone's allowed the old wind.
358120	359120	Once we get you in the water,
359120	360120	you'll be done with it.
360120	361120	Yeah.
361120	362120	Yeah?
362120	363120	Then it's all in front of you.
363120	365120	It's all uphill from here.
365120	366120	You'll be great.
366120	367120	You'll be great.
368120	370120	It's all uphill from here.
370120	371120	Yeah.
371120	372120	You're good to go.
378120	379120	Let's go for it.
380120	382120	The women take with them bags and cases
382120	383120	containing their filming equipment
383120	385120	and medical supplies.
386120	388120	This is croc territory.
388120	391120	Let's get you out of the water as fast as we can.
393120	394120	OK, let's go.
401120	404120	From this moment on, they'll be completely alone.
404120	405120	Who are you?
405120	406120	George.
406120	407120	George. Excellent.
407120	408120	Becky.
408120	409120	Becky. Hi, Becky.
409120	410120	Happy.
410120	411120	Ah!
413120	414120	It's so nice to meet you.
414120	415120	I'm Harveller.
415120	416120	Nice to meet you.
416120	417120	What do you do?
417120	418120	I'm a psychotherapist.
418120	419120	Oh, my God!
419120	420120	Yeah!
420120	421120	Belinda.
421120	422120	I'm Jamie.
422120	423120	Jamie.
423120	424120	Nice to meet you.
424120	425120	What's your name?
425120	426120	Ah, Becky.
426120	427120	Hello.
427120	428120	Belinda.
