start	end	text
0	3000	Hello!
6000	11000	Six weeks ago, I set out to discover whether 14 ordinary British men
11000	16000	and 14 ordinary British women could do something extraordinary.
16000	19000	Survive on two remote Pacific islands...
21000	23000	..filled with dangerous wildlife...
23000	25000	That is a big fucker.
25000	27000	It came right at me!
27000	30000	..at the height of the tropical storm season.
30000	34000	How on earth are we expected to survive in this?
34000	38000	What I want to find out is, has all of this cushioning
38000	41000	that civilisation has experienced over the last 50 years
41000	45000	made us totally lose touch with that survival instinct
45000	48000	that I believe is deep within us all?
50000	52000	In this groundbreaking experiment,
52000	56000	the castaways faced surviving entirely alone for six weeks.
56000	57000	Holy shit!
58000	61000	Tonight, I discover how both the islands fared.
61000	63000	You're really on more than nature, I say.
66000	69000	I'll reveal and explain the techniques
69000	71000	that men and women use to survive...
72000	75000	..find out how island life affected them...
75000	78000	I am not the same person who went to the island.
81000	83000	It's the best thing I've ever done.
83000	86000	..and what it was like when they returned to civilisation.
86000	87000	Oh!
87000	89000	What the hell's going on?
89000	91000	Showered and everything!
91000	92000	Oh!
92000	93000	No way!
93000	95000	It's absolutely brilliant, babe.
95000	97000	Oh, God, your voice is beautiful.
106000	109000	After 41 days, I returned to the islands
109000	112000	to find out how the castaways have stayed alive
112000	114000	using only their wits
114000	116000	and some basic survival skills.
116000	117000	Is it him?
122000	124000	Such a big part of me is so relieved
124000	126000	we've reached this point where we're extracting them.
126000	129000	This is the most in-depth experiment I've ever done.
129000	131000	Six weeks, height of a rainy season.
131000	132000	Brutal.
139000	140000	Welcome!
140000	142000	Wow, look at you guys.
142000	143000	Well done.
143000	144000	Well done, you.
144000	145000	Thank you.
145000	146000	Well.
146000	147000	Done.
147000	148000	You.
148000	149000	Amazing.
149000	150000	Thank you.
150000	151000	Genuinely.
151000	153000	I think what's interesting about doing two separate islands,
153000	155000	one for the men, one for the women,
155000	158000	is seeing how two very different groups of people
158000	160000	cope in the same hardships.
162000	163000	Look at you guys.
163000	165000	I thought I smelled bad.
165000	167000	I mean, that is the smell of honest hard work, isn't it?
167000	168000	Success!
168000	169000	It's the smell of success.
169000	170000	Thanks for coming back.
170000	171000	Yeah.
171000	172000	Let's have a look at the camp.
