start	end	text
0	14640	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14640	22920	British men while a separate island will be home to 14 British women for six weeks they
22920	29560	will be utterly alone with only the clothes they stand up in fishing equipment and a handful of
29560	38920	basic tools filming everything themselves when pushed to the limits of human endurance will it
38920	49540	be brute power or mental strength the winds a day daddy brought home the Baker who will have
49540	58080	what it takes to stay alive tonight is the final installment of the women's I don't want to be on
58080	59540	camera today anybody
59540	69380	survival will be harder than ever the search for food is now a matter of life and death
69380	74660	it's a joke living on the island in the middle of tropical storm season
76660	86060	I think we are on our last leg when pitted against the extremes of nature with the finishing line in
86060	89540	sight these Monday women are
89540	96540	they just sleeping on a bit of ice an april 18th it's just a cold slide you've got to find
96540	102380	the hot potato first've got what it takes to survive I'll do what I'm wanting to do
102380	110120	I understand and go I'm not going to do it let me finish as usual arguments of the staff seeds
111540	115660	why cant you fucking know here and the baby fucking soon
116500	119400	After nearly five weeks of heat followed by a haberdam program which was a result of the
119400	126540	on the island the ten remaining women were on the verge of failure they were
126540	132420	dangerously dehydrated and had an urgent medical warning all the plug on this
132420	137220	that their lives were at risk in scary territory where we just don't know
137220	143440	what's happening to our bodies but they pulled themselves back from the brink
143440	152800	now entering their sixth week surviving on the island food in the camp vicinity
152800	157680	is running out the starving women face a battle to make it to the end
157680	169540	desperate for something to eat
169540	173080	Becky
173080	173420	Julie
173420	180420	and Georgie brave the vicious incoming tide to scavenge the last remaining oysters.
203420	219620	Oh, bloody hell. Today I'm feeling like absolute shit. I know that I keep saying I feel like
219620	228620	shit, but today I feel like dried white dog poo shit.
228620	233400	Since they've arrived on the island, the starving women have shed more than 140 pounds.
233400	238400	between them. The weight of an average woman.
238400	244160	Our coconut supply is running low. Our yucca around here is non-existent. The limes have
244160	249960	now gone. The almond fruits that grow on the trees here, we've eaten all of those.
249960	252080	Oh, they stink.
252080	257300	For six weeks, vegetarian Jamie has been surviving on nothing but nuts and coconuts.
257300	263300	As soon as I get off here, I need to get as much protein in me as I can.
263300	263380	Yeah.
263380	271480	I just had a day, but you'll get a big fat sausage in you as soon as you get off here.
271480	277480	Sometimes I do eat meat, but only the sausage variety. Sometimes I like a bit of chorizo,
277480	281480	but I don't like them chipolatas.
281480	284940	Here, let me help you.
284940	289480	With food so scarce around camp, the rest of the women are having to rely solely on
289480	293280	the fishing net they've set in the shallows.
293280	295280	Oh, I think that's something in the net.
295280	297280	It's a shark.
297280	299280	Where is it? Where is it? Where is it?
299280	300280	That is unbelievable.
300280	307280	All right, got him. Quick, he's getting away.
307280	309280	No, he's got a way. He's got a way. He's got a way.
309280	316280	Oh, damn. Damn, damn, damn.
316280	318280	No supper for us tonight.
318280	323180	There's 10 of us, and I think we are on our last legs.
323180	327180	I think we are on our last legs.
327180	330180	When Mother Nature slams that larder door firmly shut,
330180	333180	things in a group can rapidly go downhill.
333180	336180	You're hungry, you're despondent, and it's so tempting to give up.
336180	339180	But like so many things in life and in the wild,
339180	343180	it's actually about how you respond to those crisis moments.
345180	351180	I've literally been up almost all night just trying to keep that fire alive.
351180	356180	From day one, the women have governed themselves in a leaderless community,
356180	358180	trying to make group decisions.
358180	361180	What, was there not enough wood? Have we run out of wood now?
361180	363180	We ran out of wood last night, and everyone went to...
363180	365180	You're joking. Yeah.
365180	367180	People just know they need to fucking get wood.
367180	370180	End of story. That's the bit that I don't get.
370180	374180	There's no leader. Not one person rules the roost.
374180	379180	We work collectively, so we have to kind of use our initiative
379180	380180	and work off the average.
380180	383180	So if, say, I want to go foraging,
383180	386180	I don't have to be told to go foraging.
386180	388180	I'm going to go foraging.
388180	392180	All the decisions we've made thus far have been made elaboratively.
392180	397180	We've not needed to conform to a system where there's a leader.
401180	404180	The women need to survive seven more days on the island.
404180	408180	Any hope of dinner depends entirely on catching fish.
408180	410180	The women are yet to be found.
410180	413180	It's time to establish a rota for checking the nets,
413180	415180	and Julie has made a discovery.
415180	418180	The net is in a right mess.
418180	422180	It's just... It's curled over that tight.
422180	424180	There's no teamwork.
424180	426180	There's no organisation.
428180	431180	There's... Nobody wants responsibility for anything.
433180	436180	Holy shit. It's an absolute state.
436180	438180	I mean, have you seen that?
438180	441180	It's crested, it's crested, it's crested.
441180	444180	High, stormy seas have destroyed their last hope
444180	446180	of getting something to eat.
446180	450180	Fishing is the only thing that we survive off at the minute.
450180	452180	We need to get it sorted ASAP.
454180	456180	It's just getting more and more tangled.
456180	459180	Yeah, I know, but just pulling it like that's going to rip it, isn't it?
459180	460180	No, it's not.
460180	462180	Well, it is when... I can feel it.
462180	464180	Well...
464180	466180	I'll just wait until we've used it.
466180	468180	Stop being a stroppy cow, Jamie. What's up with you?
470180	472180	Where's Jamie gone?
472180	475180	Fucking want to get fucking off here.
475180	477180	It better be fucking soon.
480180	483180	I would say I've had a hard life growing up.
483180	487180	My mum's got MS and she's been in a care home.
487180	491180	She's always said to me to basically live life to the full
491180	494180	because she's never been able to do the things that I've done.
494180	495180	It's made me...
