start	end	text
0	14640	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14640	22640	British men while a separate island will be home to 14 British women for six weeks they'll
22640	29640	be utterly alone with only the clothes they stand up in and a handful of basic tools filming
29640	37500	everything themselves when pushed to the limits of human endurance will it be brute power or mental
37500	48180	strength the winds of day who will have what it takes to stay alive tonight we follow the
48180	57840	women's island this time it'll be harder than ever
59640	69780	hunt for food find water and build shelter living on the island in the middle of tropical storm
69780	86880	season when pitted against the extremes of nature and these Monday women got what it takes to survive
89640	107100	four days ago 14 British women were cast away on this remote uninhabited Pacific Island
107100	114660	already one woman has left the island I need to go
114660	118980	who's up for this
119640	125280	some of the group stayed behind at the makeshift camp whilst an expedition party went in search of
125280	134160	a permanent base with a sustainable water source it's not salty but with no idea how to get back
134160	143700	to the others they are now lost in the thick of the jungle and are completely out of water
143700	147900	we have nothing to drink we don't know where we are
149640	155520	the women left behind have just rain water to drink their fire has gone out and panic is setting in
155520	165480	with both groups now starving and critically dehydrated their time on the island could be
165480	171360	over before it's really begun it's day four
173280	178800	the five women left in camp have been waiting for over 24 hours for the others to return from their
178800	179280	expedition
179640	190080	I feel dreadful honestly I feel absolutely dreadful I never thought I would be so desperate
190080	198240	for food and water we all want to get out of this camp but we know the other group are coming back
198240	204180	for us we can't set off because we'll lose them the women are trying to relight their fire to
204180	207900	purify water from a muddy puddle but their wood is damp
207900	209280	that's it
209640	214800	next it's moving oh every time what the hell are we doing there's actually just another
214800	221160	Groundhog Day of the same it's like the best camping ever isn't it the best camping
221160	228000	every time camping twice I don't like it
231900	235640	however bad your situation is you have to dig deep and find that inner strength to stand any chance of surviving the adapted nature of magn Tookhealth tours are nowScreenreviews.com
235640	236040	for more Sammy Laimo and the family you love we'll see you this weekend
236040	236920	now you can view what comes next next portion in the Descent of the Ocean
236920	238980	video How you'll get started until you hit the video这 куда就不 racket
238980	239340	you'll get started until you hit the video this one walk
239340	243940	surviving. You know, simple principles that really make a big difference, and one of those
243940	248780	is positivity, positivity, positivity.
248780	253500	I might as well, honestly, I might as well have gone and sat in my horse's field for
253500	257660	five days and not eaten, but just sat in the muddiest part of the horse's field, but the
257660	260180	difference is I might have had a horse for company.
260180	268180	I don't actually mind, because I love extremes of weather. I like roaring wind and lightning
268180	270180	and torrential rain and...
270180	274940	Oh, lovely. I'm pleased for you. Seriously, I'm really chuffed for you.
274940	280460	I've always wanted an adventure, and I thank God I haven't done that much for myself over
280460	286060	the last 55 years. Should have done more. Should have seen more.
286060	290860	I get really wound up over the most stupid things. Like, you know when you buy expensive
290860	297860	toilet roll and then you tear it and it doesn't tear along the perforations? That really winds
298180	299180	me up.
299180	305620	I try to stop myself talking a lot, but I do like to think that other people can get
305620	309620	away with it in edgeways, you know what I mean?
309620	315220	This is day four now without any food, so we're really going to feel it today.
315220	321180	Earlier, the women found some yucca, a type of potato. Mother of two, Julie, has decided
321180	324860	to peel it, despite not having a fire to cook it on.
324860	328180	Oh, now, do you know what? I've just wasted that now.
328180	333180	But we could have boiled it in soup, that's what Beth was saying.
333180	336180	I would please leave the yucca.
336180	341180	If she goes on about those potatoes anymore, I'm going to stab her.
348180	355180	After 24 hours without a drink, the expedition party are dehydrated, hopelessly lost, and
355180	357180	wandering directionless.
358180	365180	Walking is painful now, physically and mentally.
365180	368180	I just hope we can find a drink.
368180	377180	I can't remember the time I felt this thirsty.
377180	379180	Careful here, guys, it's really slippery.
379180	381180	Oh, shit.
381180	382180	Are you all right?
382180	383180	Super slippery.
383180	384180	Really slippery.
384180	385180	Oh, God.
385180	386180	Oh, .
386180	387180	Hey.
387180	388180	Who was that?
388180	389180	That was me.
389180	390180	Oh, my God, there's a caiman.
390180	391180	That is a big .
391180	392180	Oh, yes, I can see it.
392180	393180	Straight ahead.
393180	394180	Oh, shit.
394180	395180	Oh, my God, that's .
395180	396180	Yeah, it's enormous.
396180	397180	It's watching us, though.
397180	398180	We actually, I just can't, I literally must have walked past his nose by that much.
398180	399180	Didn't spot him.
399180	400180	Did we throw things at his hip?
400180	401180	No.
401180	402180	No.
402180	403180	Though potentially deadly to humans, a crocodile of this size is the most likely
403180	404180	to die.
404180	405180	Oh, my God.
405180	406180	Oh, my God.
406180	407180	Oh, my God.
407180	408180	Oh, my God.
408180	409180	Oh, my God.
409180	410180	Oh, my God.
410180	411180	Oh, my God.
411180	412180	Oh, my God.
412180	413180	Oh, my God.
413180	414180	Oh, my God.
414180	419020	Though potentially deadly to humans, a crocodile of this size could provide tens of thousands
419020	422180	of calories for the women who have barely eaten in days.
422180	423180	Billy Big Balls, that.
423180	424180	That is a serious Billy Big Ball.
424180	425180	I'm not going for that one for dinner, then.
425180	426180	Not tonight, not without a fire.
426180	427180	We wouldn't tackle that unless we don't have a sharp knife on us.
427180	428180	We'll be back for you, men.
428180	429180	Sleep with one eye open.
429180	441420	With hunger and dehydration sapping their energy and with hunting equipment left at camp,
441420	444180	the women decide to walk away from this potentially deadly crocodile.
444180	445180	A life-saving feast.
445180	446180	Right, let's get out of here.
446180	447180	Nothing easy on this.
447180	448180	Hey, it's all right.
448180	449180	It's all right.
449180	450180	It's all right.
450180	451180	That's it.
451180	452180	That's it.
452180	453180	That's it.
453180	454180	Well done.
454180	459180	As we know, caiman can take off a leg, an arm, drag you into the water, drown you,
459180	460180	eat you.
460180	461180	Not great, really.
461180	463180	So we all want to be out of here as fast as possible.
463180	466180	And as an exit operation, we're doing quite well.
466180	468180	Oh, darn you, dear.
468180	469180	Yeah.
469180	470180	Too late.
470180	471180	Too late, baby.
471180	472180	Too late, baby.
472180	473180	Too late, baby.
473180	474180	Too late, baby.
474180	475180	It's too late.
475180	481180	For these women to succeed they've got to have faith.
481180	486180	They've got to persevere and reunite because there's power in numbers.
486180	490180	My mantra is lead no man behind.
490180	495180	It's that sort of attitude that's going to make the critical difference for them.
495180	498180	I've got a beach on my left.
498180	499180	Oh, no.
499180	501180	Let's get on that.
501180	503180	Let's get an orientation.
503180	506540	The women have been trekking through the jungle for two hours,
506780	508440	but instead of finding camp,
508780	511860	they've stumbled upon another beach on the north of the island.
