start	end	text
0	14700	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14700	23240	British men while a separate island will be home to 14 British women for six weeks they'll be
23240	30860	utterly alone with only the clothes they stand up in and a handful of basic tools filming everything
30860	40940	themselves when pushed to the limits of human endurance will it be brute power or mental
40940	51740	strength the Windsor day it's too cute I can't who will have what it takes to stay alive tonight we
51740	52980	follow the men's island
53240	65300	it's a scorpion guys it'll be harder than ever they'll have to endure the height of the harsh
65300	70700	tropical storm season a bit like being in a disaster film they'll have to find their own water
72620	81380	and hunt for their own food watch him watch him go now go now that is amazing have these modern
81380	82940	day men got what it takes
83240	89240	to survive we're all sweating our bollocks off up there fella and it looks like yeah yeah looks
89240	90980	like you're doing call when it comes to wood
94700	104780	two weeks ago 14 British men were cast away on this remote Pacific Island
106580	112460	that was the dumbest thing I ever did but now three of the men have quit now the dead weight's off let's get on with it
113240	117200	there and the island has taken its toll on the 11 that remain
119060	121460	I'm genuine I've never been so terrified in my life
123680	129260	having barely found anything substantial to eat they're now on the brink of starvation
130460	133580	we ain't conquered Jack nothing
143240	149240	and they say nothing
149240	152020	speaking of who you are
152260	154920	scriptwriting
154920	160340	it's a bit like being in a disaster film or you know or when um you hear on the
160340	168920	news that people have had a typhoon come through or a flood there's no water there's no electricity
168920	170600	you know stomachache
170600	171600	car is definitely needs some organます
171600	172820	could you get on with the show
172820	175840	like you've been hit by a major disaster.
185360	187260	Oh, look, another day in paradise.
190840	194040	It's been 15 days since the men arrived on the island.
197320	200600	And so far, they have survived on a meager diet
200600	204840	of a few hundred calories a day.
204840	210260	So thin now, like ribs, all sorts of bones
210260	215380	appearing that I haven't seen since I was a bloody teenager.
215380	218760	Oh, hang on.
218760	222000	Oh, hang on.
222000	224620	Lie down, mate, if you've.
224620	226220	Oh.
226220	227900	It's the nearest I've got to fainting,
227900	230000	or I assume it's fainting, having never
230000	230600	fainted before.
230600	234140	But my vision just went, like, pulsating in and out,
234140	236420	in and out, in and out, in and out.
236420	239300	And then before I knew it, I was on my ass.
239300	240220	Sort of semi-collapsed.
246420	250820	We're surviving off limpets and, like, the odd one fish.
250820	253720	It's not going to sustain us for the next god-how-ever weeks.
253720	257220	I think another week of this, we'll be struggling massively
257220	259080	just to even get up in the morning.
259080	260000	We need to find a way.
260000	264740	We need to find a solid source of food or, you know,
264740	266000	we're going to be facing meltdown.
269000	270240	We're out of food.
270240	272700	The bottom line is we don't have any food other than limpets.
272700	273780	We're getting weaker and weaker.
273780	275940	I certainly feel like I'm getting weaker and weaker.
275940	280480	So my priority is how I feel about, personally, is food.
280480	282160	I think the majority of our resources
282160	285940	should be to getting us good fish today.
285940	287240	Let's go.
287240	288660	We are going to find lunch.
290000	297000	Come on, fishy, fishy, fishy.
297000	301000	In a survival situation, you always face one huge dilemma.
301000	303700	And that is, if you want to eat, you've got to hunt.
303700	305440	Hunting burns your energy.
305440	308500	And there's no guarantee you're actually going to catch
308500	310360	anything at the end of it.
310360	311940	Any glimmers yet, Vic?
311940	313180	Oh, I can see fish.
313180	314920	Can you?
314920	318000	Bastard, you.
318000	320000	Every time you go looking for food, you're gambled.
320000	321000	You're gambling.
321000	323000	You're gambling with your energy reserves.
