start	end	text
0	14720	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14720	23400	British men while a separate island will be home to 14 British women for six weeks they
23400	28760	will be utterly alone with only the clothes they stand up in and a handful of basic tools
30000	37560	filming everything themselves when pushed to the limits of human endurance will it be brute power
37560	51500	for your boys or mental strength the Windsor day oh my god oh my god who will have what it
51500	55900	takes to stay alive tonight we follow the men's island
55900	59920	you're on
60000	73200	like actually could have died survival will be harder than ever they'll have to endure the height
73200	78840	and harsh tropical storm season everyone's aware everyone's cold everyone's miserable everyone's
78840	86120	tired they'll have to find their own water and hunt for their own food what the effing hell is
86120	89820	that have these modern-day men got what it takes to survive and survive and survive and survive and
89820	89980	survive and survive and survive and survive and survive and survive and survive and survive
90000	92920	and survive and survive and survive and survive and survive you are three and a half hour making
92920	92940	you are three and a half hour making
92940	94880	you are three and a half hour making soap could be done in 25 minutes you tell
94880	94900	soap could be done in 25 minutes you tell
94900	96960	soap could be done in 25 minutes you tell any Chef that cooking for 11 people is
96960	97000	any Chef that cooking for 11 people is
97000	102460	any Chef that cooking for 11 people is physically easy and your stabbing
104900	114620	three weeks ago fourteen British men
114620	114640	three weeks ago fourteen British men
114640	116920	three weeks ago fourteen British men were cast away on this remote Pacific
116920	116940	were cast away on this remote Pacific
116940	119840	were cast away on this remote Pacific Island
119840	119900	Pacific Island
120000	122000	Living on the edge of existence...
122000	125000	OK, Vic, go now, go now. Right, that's it.
125000	127000	..until 47-year-old Vic...
127000	130000	Here we go, puppy dogs!
130000	132000	..led them to capture and kill...
132000	133000	Bullshit!
133000	135000	..the island's number-one predator.
135000	138000	We've just caught a prehistoric animal!
139000	141000	But despite their best efforts,
141000	144000	they've not been able to repeat the success.
144000	146000	Truck empty.
146000	149000	The onset of starvation looks upon us.
149000	152000	And feast has turned to famine.
152000	155000	Hey, look, you can see Piers's heart beating through his chest.
155000	157000	Boys, there's no meat on you.
157000	159000	I think we're going to run into some really hard times
159000	161000	in the next couple of weeks, and we'll see.
161000	164000	It'll test everybody's mettle, mine as much as anybody else.
169000	171000	Guys, there's a snake here.
171000	173000	Keep track of it, we're coming.
174000	176000	OK, Bonnie.
176000	178000	Knock it off.
179000	183000	Oh, my gosh.
183000	185000	Bonnie, you've become a killer.
185000	189000	It's food, but I take no pleasure from doing that whatsoever.
189000	193000	It's the second bloody animal I've ever headed since being here.
193000	195000	Killer.
195000	198000	In the four days since the men caught and ate the crocodile,
198000	201000	they've had to survive on slim pickings.
202000	204000	Oh, hello.
204000	206000	It's eaten... It's a little bird or something.
206000	207000	..a baby bird!
207000	208000	Look at that.
208000	210000	Oh!
210000	211000	A bird and a snake.
211000	212000	Get him on the fire too.
212000	213000	Yeah, man.
213000	214000	He's been there.
214000	216000	It's like snake crisps.
217000	219000	It's very, like, pork-scratching.
224000	225000	Oh, man, guilt.
225000	228000	Apart from the odd, opportunistic kill,
228000	231000	the only man who's been able to provide anything
231000	235000	like a regular supply of food for the group is 47-year-old Vic.
235000	236000	Woo!
236000	237000	Hoo!
238000	240000	Look at the size of that bitch!
240000	241000	Woo!
242000	245000	If I didn't have another mouse to feed, I would live like a king.
245000	247000	There's no two ways about that.
247000	249000	It's a shame nobody else is raking food in,
249000	250000	cos that would be helpful.
252000	254000	If he wants to go out and catch amazing fish
