start	end	text
0	14700	two uninhabited Pacific Islands more than 5,000 miles from the UK one will be inhabited by 14
14700	22920	British men while a separate island will be home to 14 British women for six weeks they'll
22920	29880	be utterly alone with only the clothes they stand up in and a handful of basic tools filming
29880	37080	everything themselves when pushed to the limits of human endurance so thin now will it be brute
37080	44700	power or mental strength the winds a day watch him watch him go now go now who will have what
44700	58020	it takes to stay alive tonight we follow the women's island survival will be harder than
58020	59760	ever they'll have to make fire
59880	69660	hunt for food and find water oh living on the island in the middle of Tropical storm season
71220	77580	I'm still wet worse night's sleep like surely I'm gonna die soon hang on
80400	82740	when pitted against the extremes of nature
84780	88080	have these Monday women got what it takes to survive
89880	94980	just remember to how you felt when you felt and leave it there
103800	109380	it's been seven days since 14 British women were marooned on a remote Pacific Island
109380	119460	brutal conditions have already claimed two victims
119880	126780	I need to go it's been with my family and the group paid the price when they split to
126780	132240	find a sustainable water source we cannot walk anywhere on this island without getting lost
132240	145140	finally reunited after three days apart the women find themselves on the northern tip of the island
145140	149760	they have no water source and many haven't had a drop to drink for two days
149880	159540	it's sunny
161220	173100	so it is blaring so hot there is no outside input and it is up to us to survive and thrive
173100	175320	that is a heck of a challenge
176700	177840	oh my gosh
177840	179840	despite the oppressive
179840	193520	30 degree heat there's something to celebrate for one of the party if you'd
193520	197180	have asked me a year ago where I'll be spending my 25th birthday I definitely
197180	201440	would not have been saying oh my 25th birthday will be spent abandoned on an
201440	208260	island dehydrated and starving for the last five days the women have barely
208260	218160	eaten and had hardly anything to drink finding water it's a priority the only
218160	221860	reason we're not thinking about food is because we're so thirsty our body
221860	227500	basically tries and like compensates for everything that we're lacking when it
227500	231700	comes to survival I often talk about the rule of three which means you can survive
231700	236100	three minutes without air three days without water three weeks without food
236100	238240	and in temperatures like this the water is not enough for you to survive you
238240	243280	women have got to drink a lot between two or four liters of water a day if
243280	252580	they don't they're finished the Sun obviously makes you feel more dehydrated
252580	259120	and more weak without a sustainable water source they're surviving on rain
259120	265000	water but there hasn't been a drop for 48 hours looking at the sea you just
265000	268240	want to drink the sea water keep dreaming about the sea you just want to drink the sea water keep dreaming about the sea
268240	277940	it's really about diet iron brew cold freezing cold diet iron brew with ice
277940	281500	oh my god my other birthday's and I'm stressing out because no one's got me a
281500	285520	card or no one's come out for a meal and I'm just gonna be happy with some a
285520	289020	piece of fruit and some water
289020	295500	I think a bogey just came out my nose
295500	297500	eat it! eat it! eat it!
298240	300240	Waste! Waste nothing!
303240	305240	I've always loved adventure.
305240	309240	In December 2013, I set off on transatlantic rowing race,
309240	312240	3,000 miles across to Antigua.
312240	315240	It's the 30th of January and we have just had a capsize.
315240	319240	I have split my head open.
319240	321240	I didn't want to give up.
321240	325240	It had been 96 days of pushing my body and pushing my mind
325240	327240	further than I ever had before,
327240	329240	but we still had to give up.
