start	end	text
0	15000	two uninhabited Pacific Islands more than 5,000 miles from the UK one is inhabited by 14 British
15000	25620	men while a separate island is home to 14 British women for six weeks they'll be utterly alone with
25620	33500	only the clothes they stand up in and a handful of basic tools filming everything themselves
33500	43860	when pushed to the limits of human endurance will it be brute power or mental strength the
43860	54900	Windsor day who will have what it takes to stay alive tonight we follow the women's island
55620	69180	survival will be harder than ever the search for water and hunt for food is now a matter of life or
69180	81840	death living on the island in the middle of tropical storm season when pitted against the
81840	85600	extremes of nature and the
85600	91960	these Monday women got what it takes to survive your bodies are just starting to fail I'm right on
91960	96280	the brink of pulling you all off the island for medical reasons over
100240	102220	foreign
109600	115240	get the knife get the knife first 10 women remain of the 14 I dropped off
115600	120940	on the remote Pacific Island you are not leaving this island I don't care if I have to carry you on
120940	125860	my back as they approach the four-week mark they're entering a new and potentially dangerous
125860	131200	phase of the experiment I just don't find starvation a sexy weight to get skinny without
131200	137080	enough food and water their bodies could be in serious danger of shutting down I think it's
137080	142660	about time that we get out there and get a bit brutal yesterday the women finally managed to
142660	144220	trap their first big prey
145600	154560	and ate their biggest meal yet anybody watches this in judges any of the girls here for what they've done today they can fuck all
154560	160740	it's day 26
160740	163620	oh
163620	166360	what's that it's moving
166360	170600	i knew there was things here that tried to burrow into your skin
170600	175240	don't worry about hurting me just get it out
175600	179600	The plague of parasites from yesterday's pig carcass has hit camp.
179600	181600	Basically, camp is in festivities.
181600	183600	Oh, Christ.
183600	187600	Let's wash down and we'll basically give each other a visual check.
187600	191600	Who says we don't have to take our clothes off to have a good time?
191600	193600	Hello!
193600	195600	She looks a bit angry.
195600	197600	She was angry a bit, didn't she?
197600	200600	Turns out I've had a tick right on my bum.
200600	202600	It's made a right mess.
202600	205600	I've got one there a bit. It's got its head in there.
205600	210600	These blood-sucking insects burrow their heads deep under the skin to feed,
210600	214600	exposing the women to a host of dangerous tropical diseases.
214600	217600	And as I went like that with my fingernail,
217600	223600	the arse ends of this tick came up with its legs moving.
223600	228600	Well, I've... Oh, God, it knocked me sick.
231600	232600	Two, three.
232600	233600	OK.
235600	237600	I think it's piggies' revenge.
240600	242600	Despite their recent pig kill,
242600	245600	the women now have been living on an extreme low-calorie diet
245600	248600	with very little water for the past four weeks.
248600	250600	From here, there's barely any research
250600	253600	about the effects of extreme survival on the body.
253600	257600	And because of this, they're now entering dangerous medical territory.
257600	261600	Without an adequate and constant supply of food and water,
261600	264600	they're going to risk long-term damage to their vital organs,
264600	266600	and they don't want that.
267600	269600	Like that?
269600	271600	Yeah. It caught the pig.
271600	274600	We cooked it as well, and now we're staying up all night
274600	278600	to preserve it in salt water from the sea
278600	282600	so that everybody can eat meat for the next three days.
282600	285600	Hunters Lauren and Beth, along with Havilah and Becky,
285600	290600	are working through the night to ensure they make the most of yesterday's pig kill.
291600	293600	Hey, that's island life.
293600	296600	While they're doing that, we are going to dig a hole in the ground
296600	298600	to bury the jerrycan.
298600	303600	So it's going to be a bit like a fridge, but a fridge for, like, cavemen.
303600	306600	With temperatures in excess of 30 degrees,
306600	309600	the coolest place to store the meat is underground.
309600	312600	Let's get it as deep as we can.
312600	315600	To do this, Lauren and Beth have requisitioned
315600	317600	one of the women's two jerrycans,
317600	320600	which, up to this point, has been used to filter, boil,
320600	322600	and store their drinking water.
322600	325600	Um, I'm kind of not happy about that.
325600	330600	Which is a cause of concern for lifelong vegetarian Jamie.
330600	332600	I know it's quite a big deal,
332600	337600	but it's also quite a big deal for me drinking water.
337600	339600	There's no way I'm drinking out of that.
339600	341600	It's got to be done.
341600	343600	People must be fed.
350600	358600	I'm a bit devastated about still being awake at this time in the morning.
358600	362600	This is not the same as tottering in at 5am on a pair of heels,
362600	364600	really, really drunk.
364600	366600	Having worked through the night,
366600	371600	the pig preservers head back to camp with the jerrycan filled with pork.
371600	374600	I think people have their priorities wrong.
374600	379600	I'm not saying that they shouldn't have done that to preserve the pig,
379600	383600	because I also didn't want the pig to go to waste.
383600	387600	I mean, I know I'm a vegetarian, so it's easy for me to say,
387600	392600	but it's almost like that was prioritised over our water,
392600	394600	and that's what I'm pissed off about.
394600	396600	OK, we're just going to cover this valve,
396600	399600	because we don't want any little nasties.
400600	402600	On the island, Jamie's helped establish
402600	405600	a successful water purification system,
405600	407600	using one jerrycan for filtering
407600	409600	and the other jerrycan for cleaning.
409600	412600	The jerrycan is a kettle for boiling.
412600	414600	It's fucked up the whole water system.
414600	416600	I've been sitting there for days doing it.
416600	418600	One jerrycan, get it on the boil.
418600	422600	Filter in the other jerrycan, get that on the boil.
422600	425600	And even then, we're struggling with the water.
425600	428600	Now we've got one shitty jerrycan without a lid.
428600	430600	So now I'm suffering.
431600	432600	Midday.
432600	436600	With tonight's dinner stored in their makeshift fridge,
436600	438600	the women who stayed up preserving the pig
438600	440600	are resting on the beach.
440600	442600	You smell so clean.
442600	443600	No, I don't.
443600	445600	I'm sniffing you.
446600	448600	55-year-old Julie is hard at work,
448600	451600	determined to supplement the women's dinner.
451600	453600	She's spotted a dead fish.
454600	456600	What I'm going to do is...
458600	462600	..I'm going to tie this up and tie it to my ankle
462600	464600	and see if anything else comes to eat it
464600	466600	that I can scoop up in my kiddie net.
466600	467600	What a lacking talent.
467600	469600	I make up for in enthusiasm.
469600	471600	My mum used to say that.
471600	473600	Oh, Julie.
475600	477600	8.62 altogether.
477600	479600	I'm single, divorced.
479600	480600	I've bought the house.
480600	483600	This is my second house that I've bought.
483600	486600	And I've done it all on my own.
486600	487600	I think I'm hard-working.
487600	490600	Once I start, I'll really give it, you know,
490600	492600	till I'm absolutely dropping.
492600	496600	It's like I'm behind myself with a big stick all the time.
496600	498600	I don't give myself a break.
499600	500600	Just be careful.
500600	502600	I don't want a shark taking your leg off.
503600	506600	This is the strangest fishing I've ever seen.
508600	509600	Julie is killing me.
509600	512600	I absolutely love her.
513600	516600	I'll keep throwing it out like a distressed fish.
518600	520600	I don't know anything about fishing.
520600	523600	I could be a couple of hours.
524600	525600	I'll give you the show.
525600	527600	I'll give you the show.
527600	529600	Oh, Julie.
529600	530600	Further down the beach...
530600	532600	Give me a really good chunk towards you.
532600	534600	..Jamie's made a discovery
534600	536600	that could make her water more palatable.
536600	539600	That is lime leaves, isn't it? Yeah.
539600	542600	I've been picking heaps and heaps of these lime leaves
542600	544600	and putting it in this boiled water.
544600	548600	It just takes away some of that rotten taste.
550600	552600	Totally tropical taste.
552600	553600	No.
553600	554600	LAUGHTER
555600	559600	I'm fucking determined we're going to get something out of this ocean.
560600	563600	On the shoreline, Julie is still hard at it.
565600	567600	No, she didn't!
570600	572600	Yeah! Go, Julie!
572600	573600	Wow.
575600	577600	No, she just lost it!
577600	579600	Fish fell back in the water.
579600	582600	I just fucking despair, I do, honest to God.
585600	588600	2pm. Julie is still fishing.
588600	591600	Have you ever seen anyone fish like that before in your life?
591600	592600	No.
592600	595600	I don't think any fish could have gone here.
595600	597600	LAUGHTER
597600	600600	Whilst the rest of the women are more interested in sunbathing
600600	602600	and relaxing on the beach.
602600	604600	Oh!
604600	606600	This is why we came here.
606600	609600	This bay is an absolute dream, isn't it?
609600	611600	Woo!
611600	613600	Exhausted!
613600	617600	Beth and Lauren wake to discover none of the other women have done any work.
617600	619600	We've dayed up, we cooked breakfast for everybody,
619600	621600	we cooked supper for everybody,
621600	623600	and then we needed kind of a little bit of a break today,
623600	626600	and because we've had a break, everybody else has had a fucking break,
626600	627600	and nothing's happened.
627600	629600	Do you know what?
629600	634600	Sometimes I find this island sends me round the fucking bend.
634600	636600	Everyone was agreeing, you know,
636600	639600	you guys need to have a bit more of a chill day.
639600	642600	Well, everyone seems to have taken that as everybody's going to have a relaxing day.
642600	644600	So we're back at 4 o'clock in the evening.
644600	646600	There's no wood for the fire.
646600	649600	Just feel like everyone's taking the piss, really.
649600	651600	So infuriating.
651600	655600	I mean, in a minute, Lauren and I are going to start cooking again.
655600	658600	On the preserved meat, and I guarantee you,
658600	660600	people that have been doing fuck-all all day
660600	662600	are going to be sitting front row and going,
662600	665600	all yum-yum-yum, eating all the big bits.
665600	669600	And that is just winding my fucking bobbin up.
669600	671600	MUSIC PLAYS
672600	674600	Oh, my God.
674600	676600	Mmm, that smells funky, doesn't it?
676600	680600	Lauren and Beth have dug up the jerrycan of preserved meat.
680600	684600	I mean, that jerrycan does smell of fucking vomit, though, doesn't it?
684600	686600	I think it's borderline.
686600	688600	It goes off very quickly, doesn't it?
688600	691600	With no other food collected during the day,
691600	694600	the women risk eating the suspect pork.
694600	697600	Come and grab a coconut bowl and fill up.
697600	698600	What do you think, girls?
698600	700600	I think it's going to be good.
700600	701600	It's going to be good.
701600	703600	What do you think, girls?
703600	704600	Mmm.
704600	706600	It doesn't taste right, does it?
706600	708600	It makes you feel a bit ill.
708600	710600	It is absolutely disgusting.
710600	712600	Like, it tastes gross.
712600	714600	It's disgusting.
714600	717600	But, you know, when it's the only thing you've got to eat...
717600	719600	The pork may have been foul,
719600	723600	but at least Jamie's flavoured lime water has hit the spot.
723600	725600	Oh, my God, Jamie, it's so good.
725600	727600	Oh, my God, it's amazing.
727600	729600	That was really exciting.
